+,Ходить на официальные мероприятия
+,Не жечь домики
+,Не ломать имущество ЛКШ и других школьников
+,Пользоваться ноутбуками только с 8:30 и до 18:00   ,только в будние дни
+,Носить свой бейджик первую неделю
+,Обращаться к врачу или препу при плохом самочуствии
-,Принимать и хранить алкоголь                       ,сигареты или наркотики
-,Купаться
-,Уходить за территорию лагеря
-,Причинять вред себе или окружающим
-,Играть в компьтерные игры
-,Выносить ноутбуки ЛКШ из комповника
-,Носить чужой бейджик
-,Заниматься спортом в неподходящей обуви
-,Заниматься самолечением                            ,вводить родителей в панику не посещая доктора
